Parametro_ID,Peso_Inicial,Peso_Final
Param_230,0.28011203,0.36693427
Param_231,-0.34621012,-0.8550506
Param_232,0.14180267,0.48510534
Param_233,-0.038562298,-0.51134014
Param_234,0.32753462,0.54671866
Param_235,-0.29127803,0.51290184
Param_236,-0.28299642,0.13140705
Param_237,0.3128791,0.753702
Param_238,0.10278019,0.46133563
Param_239,0.25487423,0.7261591
Param_240,-0.22163107,-0.5478397
Param_241,0.049773455,0.16915905
Param_242,0.37163562,-0.0943168
Param_243,-0.12005103,0.009241774
Param_244,0.28294665,0.11311544
Param_245,0.21906745,0.107988715
Param_246,-0.32384843,-0.08791603
Param_247,0.28817606,0.43964848
Param_248,-0.2611693,0.83190596
Param_249,-0.15290481,-0.33635834
Param_250,-0.1898929,-0.4959415
Param_251,0.14613199,-0.52116287
Param_252,-0.054332882,-0.12238516
Param_253,0.32915056,0.80629057
Param_254,0.059255213,0.4242565
Param_255,-0.067926586,-0.20897773
Param_256,0.17026007,0.816205
Param_257,-0.11465195,-1.6098114
Param_258,0.117278874,0.068922296
Param_259,0.3733012,-0.1388772
Param_260,0.08317086,-0.012667165
Param_261,0.0024378598,0.25360766
Param_262,-0.07937017,-0.077968106
Param_263,-0.27469558,0.100819215
Param_264,-0.049400955,0.43371013
Param_265,0.092466,0.02564056
Param_266,-0.16202192,-0.36564326
Param_267,-0.31381246,0.113196306
Param_268,-0.3078351,0.16731477
Param_269,-0.065986454,-0.019242214
Param_270,0.2891584,-0.030234797
Param_271,0.22412515,0.59654874
Param_272,-0.005374521,0.7739833
Param_273,-0.35721612,-0.4910405
Param_274,0.027241528,-0.09919637
Param_275,-0.020364642,-0.4084635
Param_276,-0.3381634,-0.1913917
Param_277,0.29415697,0.033050377
Param_278,-0.19494681,-0.019301945
Param_279,0.3062331,0.81225705
Param_280,-0.32855237,0.39095184
Param_281,0.16872936,-0.03999473
Param_282,-0.25311732,-0.36082494
Param_283,0.14530116,0.08859198
Param_284,0.09242001,0.5274987
Param_285,0.26026642,-0.27335674
Param_286,0.3108626,1.2830783
Param_287,-0.21657458,-0.6893199
Param_288,-0.3094017,0.41309756
Param_289,-0.30004203,0.25105715
Param_290,0.18764585,-0.44106746
Param_291,0.19188255,0.6641454
Param_292,0.075597286,-0.06695261
Param_293,0.3002569,-0.53587675
Param_294,0.1519537,0.6540683
Param_295,0.3673519,0.48863998
Param_296,-0.24242666,0.31865984
Param_297,0.31268924,-0.12018478
Param_298,-0.2797324,-1.3821782
Param_299,-0.23310365,0.64318484
Param_300,0.28526157,0.5481608
Param_301,-0.36936212,-0.12285022
Param_302,0.32044244,0.3676782
Param_303,-0.3012174,0.80246663
Param_304,-0.33456874,-0.26209995
Param_305,-0.20590249,-0.34498644
Param_306,-0.31970334,-0.120246135
Param_307,-0.04940927,-0.2993771
Param_308,-0.032078058,-0.09750462
Param_309,0.030596375,-0.032972388
Param_310,0.07008004,0.011881706
Param_311,-0.20073989,-0.16557486
Param_312,-0.23570862,0.9046803
Param_313,-0.3440202,0.09725364
Param_314,-0.34673598,-0.85942847
Param_315,-0.0053688884,0.051043063
Param_316,-0.2206133,-0.49912268
Param_317,0.27997118,-0.65784764
Param_318,-0.11835033,-0.45692
Param_319,-0.12778571,-1.0595016
Param_320,0.14843243,0.34156656
Param_321,-0.32462224,-0.3481033
Param_322,0.35251337,0.06024717
Param_323,-0.24795094,0.21987693
Param_324,-0.31868577,0.033808265
Param_325,-0.15121067,-0.0863294
Param_326,-0.09520781,-0.4079661
Param_327,-0.28329152,-0.76671976
Param_328,0.111344814,0.02591886
Param_329,-0.15640521,0.2407884
Param_330,-0.111394584,-0.46976602
Param_331,-0.18546063,-0.28641754
Param_332,0.3186441,0.4362411
Param_333,-0.046049416,0.08323598
Param_334,-0.26997724,-0.4979624
Param_335,-0.27897403,-0.1346051
Param_336,0.049601912,0.24288629
Param_337,-0.29622,-0.77891785
Param_338,-0.24565521,-0.052750304
Param_339,0.28228575,0.4821299
Param_340,0.34678805,-0.01246804
Param_341,0.078086674,0.08523682
Param_342,-0.24135785,0.19854972
Param_343,-0.35307378,-0.24751493
Param_344,-0.18740918,0.29506442
Param_345,-0.09731418,-0.0021761009
Param_346,0.25230777,-0.2900876
Param_347,0.19577944,0.032288425
Param_348,-0.05924478,0.070220426
Param_349,-0.015129954,0.77759516
Param_350,-0.1692059,0.2401502
Param_351,-0.2368105,0.39056876
Param_352,-0.056589752,0.22084671
Param_353,-0.18314292,0.13723955
Param_354,0.35467422,0.050027836
Param_355,0.08987358,-0.10138987
Param_356,-0.22338107,-0.21706466
Param_357,-0.26648784,-0.19894244
Param_358,0.093244314,0.5055067
Param_359,0.3738261,0.53068537
Param_360,0.18385237,0.6044411
Param_361,-0.23202291,-0.77911973
Param_362,0.27531165,1.490367
Param_363,-0.1609759,-0.87126094
Param_364,0.26431268,-0.055408735
Param_365,-0.37182748,-1.5486292
Param_366,-0.18796007,0.17471337
Param_367,-0.24277118,0.5657175
Param_368,0.26291138,-0.17739041
Param_369,0.11576152,0.10272382
Param_370,-0.19641602,-0.19837031
Param_371,0.20240909,0.6677936
Param_372,-0.30051786,-0.07389067
Param_373,0.1449911,0.21975306
Param_374,-0.02014193,0.46321613
Param_375,-0.046931088,0.53899074
Param_376,0.122862995,0.65659845
Param_377,0.300165,0.66679204
Param_378,-0.023376375,0.37736717
Param_379,0.111409366,0.24015862
Param_380,-0.10830632,0.33068714
Param_381,-0.077860445,-0.01848953
Param_382,0.07610008,-0.08097578
Param_383,-0.33799148,-0.020099275
Param_384,0.0,0.16017108
Param_385,0.0,0.031648573
Param_386,0.0,-2.7440033
Param_387,0.0,2.357985
Param_388,0.0,3.6685789
Param_389,0.0,-2.8823597
Param_390,0.0,1.031826
Param_391,0.0,1.2415941
Param_392,0.0,-1.7066579
Param_393,0.0,0.3836452
Param_394,0.0,-0.7427312
Param_395,0.0,0.10121683
Param_396,0.0,1.8359665
Param_397,0.0,-1.8801568
Param_398,0.0,1.3802469
Param_399,0.0,-1.7442412
Param_400,0.07218087,0.056960326
Param_401,0.41502917,0.46117067
Param_402,0.1334405,0.2767349
Param_403,0.41811872,0.7318749
Param_404,0.06910384,0.18476354
Param_405,0.31102622,-0.3332342
Param_406,-0.1398319,-0.6024214
Param_407,-0.10933828,-0.0311904
Param_408,-0.17463636,-1.0360031
Param_409,0.26829863,0.57150066
Param_410,0.17612648,0.050947286
Param_411,0.010630369,-0.3949204
Param_412,0.4404726,0.17042668
Param_413,0.12698317,-0.68477935
Param_414,0.017701745,0.8623966
Param_415,-0.20735967,0.32393572
Param_416,-0.084483385,-1.2392845
Param_417,-0.16360283,-0.491193
Param_418,0.016825318,1.2662491
Param_419,0.19848883,-0.5366187
Param_420,-0.011775017,1.119464
Param_421,0.2851752,0.6741066
Param_422,-0.31512702,-1.1749784
Param_423,-0.48269844,-1.0322143
Param_424,-0.2358079,0.32505563
Param_425,0.39814663,0.57090604
Param_426,-0.30093658,-0.29074007
Param_427,0.21250057,0.27443707
Param_428,0.25891626,-0.04249072
Param_429,-0.34106457,-0.09232479
Param_430,-0.036917567,-0.11387752
Param_431,0.3127755,0.3002493
Param_432,-0.053622127,-0.43508685
Param_433,0.4851085,1.0144998
Param_434,-0.42290187,-0.8282175
Param_435,0.2051357,0.24104054
Param_436,-0.107345104,-0.7688235
Param_437,0.4325955,0.08630698
Param_438,-0.43102872,-1.4020177
Param_439,0.15023255,0.70602816
Param_440,0.3558494,-0.7693913
Param_441,-0.47389936,-1.2120079
Param_442,0.109797835,1.760261
Param_443,0.029619813,-0.8682505
Param_444,0.3459704,1.7522626
Param_445,-0.006632924,0.7251256
Param_446,-0.025725722,0.28168103
Param_447,-0.29841816,-1.1701257
Param_448,-0.06472087,-0.064766414
Param_449,0.43020868,0.45886686
Param_450,-0.32102776,-0.18053442
Param_451,-0.19583356,0.32102415
Param_452,0.41738117,0.25228423
Param_453,-0.49123812,-0.8950658
Param_454,-0.45989132,-0.9956162
Param_455,0.27499127,0.1331109
Param_456,0.30049753,0.18606232
Param_457,0.48849177,0.20623702
Param_458,-0.36452043,-0.13337065
Param_459,0.06920338,0.27599525
Param_460,-0.34086943,-0.0082410835
Param_461,-0.01412642,-1.0238534
Param_462,0.36203742,1.1147054
Param_463,0.48769033,0.36130083
Param_464,0.3884393,1.2175268
Param_465,0.18428338,0.34935746
Param_466,0.49693096,0.19649011
Param_467,-0.4961089,-0.8435961
Param_468,0.3028618,-0.034370694
Param_469,0.43978035,0.5915096
Param_470,-0.2842176,-1.1215683
Param_471,-0.0424273,0.4477936
Param_472,0.27813554,1.0310868
Param_473,-0.26995695,0.33143172
Param_474,-0.3433565,-0.32142767
Param_475,0.25221908,0.5149093
Param_476,-0.16150522,-0.31308448
Param_477,-0.060412884,-0.57494694
Param_478,-0.19546366,1.0951533
Param_479,-0.3556621,-0.30466965
Param_480,-0.12100077,-0.2602833
Param_481,-0.20715821,0.18551672
Param_482,0.13254261,-0.6456514
Param_483,-0.459857,-0.81928116
Param_484,-0.28886378,-0.53123915
Param_485,0.3506143,1.0849063
Param_486,0.34496582,1.1351434
Param_487,0.19839358,0.5576585
Param_488,0.41532803,-0.06173257
Param_489,0.11426258,0.5192792
Param_490,0.44217634,0.7303083
Param_491,0.06721163,0.7460014
Param_492,-0.36048532,-0.088690184
Param_493,0.13283288,-0.62435526
Param_494,0.2165792,0.77532005
Param_495,0.10439551,-0.34891418
Param_496,-0.1967901,-0.06763274
Param_497,0.47547853,0.3095527
Param_498,-0.31445253,-0.13306175
Param_499,0.3283918,-0.22413068
Param_500,-0.4901117,-0.20916805
Param_501,-0.06743634,-0.65068537
Param_502,0.34870553,-0.20110291
Param_503,-0.0022380352,0.6006012
Param_504,0.19234598,-0.17687158
Param_505,0.15615797,0.4314199
Param_506,0.37056708,0.4382203
Param_507,-0.4497652,0.021762075
Param_508,-0.18213916,0.16543032
Param_509,-0.36163878,-1.1726359
Param_510,-0.029273987,-0.2703514
Param_511,-0.49515104,-0.7454903
Param_512,-0.1667713,0.5210152
Param_513,0.21330667,0.3294919
Param_514,0.09602487,-0.18184172
Param_515,-0.2526027,-0.29924518
Param_516,-0.01459384,-0.1019541
Param_517,-0.2731024,-0.9733612
Param_518,0.31345248,0.6410155
Param_519,-0.44162452,0.30108953
Param_520,0.3740449,1.7615169
Param_521,-0.48750114,-0.29630178
Param_522,0.32169127,-0.22777395
Param_523,-0.2994944,-0.9928331
Param_524,-0.15388596,-0.16190556
Param_525,0.28669286,0.75718105
Param_526,0.3463384,0.312861
Param_527,-0.3598385,0.35979438
Param_528,0.0,0.5321803
Param_529,0.0,2.5180197
Param_530,0.0,-1.782289
Param_531,0.0,2.0587828
Param_532,0.0,-1.9418237
Param_533,0.0,-1.4701542
Param_534,0.0,-0.8367835
Param_535,0.0,1.7396693
Param_536,0.040610194,-0.56114805
Param_537,0.049785554,0.4605736
Param_538,0.6800414,0.7858109
Param_539,-0.54301953,0.15649931
Param_540,-0.40174606,-2.1632895
Param_541,0.5523866,1.1242969
Param_542,0.5247765,0.5571682
Param_543,0.47998208,1.2909746
Param_544,0.37974972,-0.65224826
Param_545,-0.0097031,0.57262415
Param_546,0.3514685,-0.81207085
Param_547,0.44832486,0.7930632
Param_548,0.47869366,0.44126877
Param_549,0.6406525,1.5509872
Param_550,0.33334357,-0.68685156
Param_551,-0.7338702,-1.1061107
Param_552,0.4761545,0.51398474
Param_553,-0.42141676,-0.03236836
Param_554,-0.6338534,-0.94807315
Param_555,-0.39020553,0.1829366
Param_556,-0.71223307,-1.0042434
Param_557,0.66231114,0.12024983
Param_558,-0.35539308,-0.3406893
Param_559,0.5762492,0.94472486
Param_560,0.0,0.94825757
Param_561,0.0,-1.9951402
Param_562,0.0,0.83358175
